         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      904    0.009    0.000    0.009    0.000 wm_pen.py:43(_is_pen_message)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
        1    0.000    0.000    0.009    0.009 label.py:1(<module>)
99338/98942    0.009    0.000    0.009    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
      155    0.001    0.000    0.009    0.000 scrollview.py:635(_update_effect_y)
       57    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
     7683    0.005    0.000    0.008    0.000 copy.py:66(copy)
      248    0.002    0.000    0.008    0.000 animation.py:315(_update)
   173/57    0.001    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
      171    0.000    0.000    0.008    0.000 genericpath.py:16(exists)
   205/60    0.003    0.000    0.008    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.008    0.008 logger.py:1(<module>)
9469/9467    0.005    0.000    0.008    0.000 context.py:35(__getattribute__)
     1623    0.003    0.000    0.007    0.000 Image.py:1174(_crop)
        1    0.000    0.000    0.007    0.007 socket.py:4(<module>)
      477    0.006    0.000    0.007    0.000 wm_touch.py:73(update)
      106    0.000    0.000    0.007    0.000 __init__.py:752(_texture_fill)
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
      125    0.001    0.000    0.007    0.000 PngImagePlugin.py:1025(putchunk)
      106    0.000    0.000    0.007    0.000 __init__.py:660(_render_real)
        3    0.000    0.000    0.007    0.002 splitter.py:234(add_widget)
        4    0.000    0.000    0.007    0.002 splitter.py:189(on_sizable_from)
       69    0.000    0.000    0.007    0.000 PngImagePlugin.py:1043(write)
      647    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:385(cached)
     9421    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 windows_events.py:1(<module>)
       28    0.000    0.000    0.006    0.000 __init__.py:1071(emit)
    38172    0.006    0.000    0.006    0.000 serialize.py:136(xyz)
     4384    0.006    0.000    0.006    0.000 {method 'convert' of 'ImagingCore' objects}
      354    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      136    0.000    0.000    0.006    0.000 scroll.py:115(update)
    55049    0.006    0.000    0.006    0.000 Image.py:556(size)
       55    0.001    0.000    0.006    0.000 Image.py:2983(_open_core)
     4341    0.006    0.000    0.006    0.000 {built-in method _locale._getdefaultlocale}
        2    0.000    0.000    0.006    0.003 config.py:1(<module>)
     3156    0.006    0.000    0.006    0.000 {built-in method _struct.unpack}
       84    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
       81    0.000    0.000    0.006    0.000 __init__.py:1431(on_touch_move)
        1    0.000    0.000    0.006    0.006 subprocess.py:1090(communicate)
     4342    0.003    0.000    0.006    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
      136    0.000    0.000    0.006    0.000 kinetic.py:142(update)
        1    0.000    0.000    0.006    0.006 subprocess.py:10(<module>)
  1134/81    0.002    0.000    0.005    0.000 widget.py:548(on_touch_move)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
      395    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.005    0.005 calibration.py:1(<module>)
    32743    0.005    0.000    0.005    0.000 widget.py:371(proxy_ref)
    65031    0.005    0.000    0.005    0.000 ImagePalette.py:46(palette)
       55    0.000    0.000    0.005    0.000 ImageFile.py:92(__init__)
      190    0.004    0.000    0.005    0.000 scrollview.py:1077(update_from_scroll)
    44145    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     4334    0.005    0.000    0.005    0.000 config.py:14(code_config)
       57    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
       12    0.000    0.000    0.005    0.000 enum.py:528(_convert_)
      968    0.003    0.000    0.005    0.000 serialize.py:50(__init__)
      868    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       51    0.000    0.000    0.005    0.000 PngImagePlugin.py:673(_open)
        1    0.000    0.000    0.005    0.005 linalg.py:1(<module>)
      385    0.002    0.000    0.004    0.000 __init__.py:229(__init__)
      801    0.001    0.000    0.004    0.000 {built-in method builtins.all}
      793    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.004    0.004 atlas.py:1(<module>)
     7982    0.004    0.000    0.004    0.000 Image.py:524(__init__)
        1    0.000    0.000    0.004    0.004 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.004    0.004 _distributor_init.py:2(<module>)
    21678    0.004    0.000    0.004    0.000 builder.py:72(delayed_call_fn)
       38    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
